Date,Month,Week,Year,Station.Location,Station.State,Avg.temp,Max.temp,Min.temp,Wind.direction,Wind.speed
6/5/2016,6,5,2016,"Deer Park, WA",Washington,65,83,47,12,4.5
6/5/2016,6,5,2016,"Beckley, WV",West Virginia,71,79,63,22,3.84
6/5/2016,6,5,2016,"Green Bay, WI",Wisconsin,65,75,55,19,7.02
6/5/2016,6,5,2016,"Casper, WY",Wyoming,59,78,38,25,4.46
7/3/2016,7,3,2016,"Birmingham, AL",Alabama,84,97,70,27,3.5
7/3/2016,7,3,2016,"Anchorage, AK",Alaska,59,63,55,23,2.8
7/3/2016,7,3,2016,"Douglas Bisbee, AZ",Arizona,76,87,64,25,2.56
7/3/2016,7,3,2016,"Fort Smith, AR",Arkansas,84,95,73,12,3.16
7/3/2016,7,3,2016,"Bakersfield, CA",California,89,103,74,32,7
7/3/2016,7,3,2016,"Alamosa, CO",Colorado,63,75,50,29,2.8
7/3/2016,7,3,2016,"Bridgeport, CT",Connecticut,73,80,65,23,6.46
7/3/2016,7,3,2016,"Wilmington, DE",Delaware,72,80,64,24,6.53
7/3/2016,7,3,2016,"Daytona Beach, FL",Florida,83,94,73,20,3.36
7/3/2016,7,3,2016,"Alma, GA",Georgia,84,93,74,19,3.76
7/3/2016,7,3,2016,"Hilo, HI",Hawaii,79,85,71,22,3.63
7/3/2016,7,3,2016,"Boise, ID",Idaho,79,94,63,30,4.13
7/3/2016,7,3,2016,"Chicago, IL",Illinois,65,75,56,8,5.86
7/3/2016,7,3,2016,"Evansville, IN",Indiana,74,84,63,14,4.76
7/3/2016,7,3,2016,"Cedar Rapids, IA",Iowa,64,72,55,8,5.26
7/3/2016,7,3,2016,"Concordia, KS",Kansas,69,74,64,8,7.23
7/3/2016,7,3,2016,"Covington, KY",Kentucky,69,78,60,14,4.93
7/3/2016,7,3,2016,"Baton Rouge, LA",Louisiana,85,96,74,16,3.13
7/3/2016,7,3,2016,"Bangor, ME",Maine,70,83,57,23,7.43
7/3/2016,7,3,2016,"Baltimore, MD",Maryland,72,79,64,23,3.7
7/3/2016,7,3,2016,"Boston, MA",Massachusetts,74,83,65,24,10.86
7/3/2016,7,3,2016,"Alpena, MI",Michigan,64,77,51,23,5.43
7/3/2016,7,3,2016,"Duluth, MN",Minnesota,62,75,49,24,3.63
7/3/2016,7,3,2016,"Greenville, MS",Mississippi,84,96,71,24,4.96
7/3/2016,7,3,2016,"Cape Girardeau, MO",Missouri,74,83,64,20,4.76
7/3/2016,7,3,2016,"Billings, MT",Montana,78,93,63,22,5.56
7/3/2016,7,3,2016,"Grand Island, NE",Nebraska,63,68,57,9,8.63
7/3/2016,7,3,2016,"Ely, NV",Nevada,65,83,46,18,4.5
7/3/2016,7,3,2016,"Concord, NH",New Hampshire,66,82,50,25,5.86
7/3/2016,7,3,2016,"Atlantic City, NJ",New Jersey,72,80,64,23,5.3
